"sample_name","phenotype_label","neighbor_phenotype_label","cummulative_count","mean_interaction_density_mm2","stderr_interaction_density_mm2","frame_count","region_label"
"MEL3","OTHER PDL1-","SOX10+ PDL1-",263,617.522498635305,248.628973182171,2,"Tumor"
"MEL3","SOX10+ PDL1+","CD8+ PD1+",68,151.997518712897,93.9314982558592,2,"Tumor"
"MEL3","SOX10+ PDL1+","CD8+ PD1-",7,15.5941862852266,10.7553512471401,2,"Tumor"
"MEL3","SOX10+ PDL1+","OTHER PDL1+",31,68.29326134996,63.4544263118735,2,"Tumor"
"MEL3","SOX10+ PDL1+","OTHER PDL1-",60,136.22014215542,39.4434413936911,2,"Tumor"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1+",3710,8289.96447633417,5183.43238188267,2,"Tumor"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1-",1900,4335.92556648135,789.059483563976,2,"Tumor"
"MEL3","SOX10+ PDL1-","CD8+ PD1+",27,62.1935548686564,0.711300626467462,2,"Tumor"
"MEL3","SOX10+ PDL1-","CD8+ PD1-",20,47.2702367574679,25.3122888138289,2,"Tumor"
"MEL3","SOX10+ PDL1-","OTHER PDL1+",11,24.8246109120408,10.3081057977815,2,"Tumor"
"MEL3","SOX10+ PDL1-","OTHER PDL1-",263,617.522498635305,248.628973182171,2,"Tumor"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1+",1900,4335.92556648135,789.059483563976,2,"Tumor"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1-",9684,22669.3219905049,7737.91738883041,2,"Tumor"
"MEL2","CD8+ PD1+","CD8+ PD1+",42,331.030056917244,237.437822053107,2,"Margin"
"MEL2","CD8+ PD1+","CD8+ PD1-",24,213.175454613882,213.175454613882,2,"Margin"
"MEL2","CD8+ PD1+","OTHER PDL1+",54,429.212386492774,316.901704655811,2,"Margin"
"MEL2","CD8+ PD1+","OTHER PDL1-",46,349.748503890071,218.71937508028,2,"Margin"
"MEL2","CD8+ PD1+","SOX10+ PDL1+",57,468.467414916624,384.234403538902,2,"Margin"
"MEL2","CD8+ PD1+","SOX10+ PDL1-",58,477.349725525536,393.116714147814,2,"Margin"
"MEL2","CD8+ PD1-","CD8+ PD1+",24,213.175454613882,213.175454613882,2,"Margin"
"MEL2","CD8+ PD1-","CD8+ PD1-",24,204.770056882472,186.051609909644,2,"Margin"
"MEL2","CD8+ PD1-","OTHER PDL1+",7,57.9734753966772,48.6142519102636,2,"Margin"
"MEL2","CD8+ PD1-","OTHER PDL1-",31,250.135435682034,193.980094763552,2,"Margin"
"MEL2","CD8+ PD1-","SOX10+ PDL1+",21,178.123125055737,159.404678082909,2,"Margin"
"MEL2","CD8+ PD1-","SOX10+ PDL1-",86,679.824735052311,492.640265324038,2,"Margin"
"MEL2","OTHER PDL1+","CD8+ PD1+",54,429.212386492774,316.901704655811,2,"Margin"
"MEL2","OTHER PDL1+","CD8+ PD1-",7,57.9734753966772,48.6142519102636,2,"Margin"
"MEL2","OTHER PDL1+","OTHER PDL1+",194,1168.41200785583,67.0054923507715,2,"Margin"
"MEL2","OTHER PDL1+","OTHER PDL1-",92,565.010644077584,3.45723489276685,2,"Margin"
"MEL2","OTHER PDL1+","SOX10+ PDL1+",121,852.016543795959,355.977699016037,2,"Margin"
"MEL2","OTHER PDL1+","SOX10+ PDL1-",86,574.757263409687,153.592206521075,2,"Margin"
"MEL2","OTHER PDL1-","CD8+ PD1+",46,349.748503890071,218.71937508028,2,"Margin"
"MEL2","OTHER PDL1-","CD8+ PD1-",31,250.135435682034,193.980094763552,2,"Margin"
"MEL2","OTHER PDL1-","OTHER PDL1+",92,565.010644077584,3.45723489276685,2,"Margin"
"MEL2","OTHER PDL1-","OTHER PDL1-",1678,9928.52174475926,1152.79886315447,2,"Margin"
"MEL2","OTHER PDL1-","SOX10+ PDL1+",41,271.715359919873,65.8124432187731,2,"Margin"
"MEL2","OTHER PDL1-","SOX10+ PDL1-",342,1802.15676173057,949.454943275039,2,"Margin"
"MEL2","SOX10+ PDL1+","CD8+ PD1+",57,468.467414916624,384.234403538902,2,"Margin"
"MEL2","SOX10+ PDL1+","CD8+ PD1-",21,178.123125055737,159.404678082909,2,"Margin"
"MEL2","SOX10+ PDL1+","OTHER PDL1+",121,852.016543795959,355.977699016037,2,"Margin"
"MEL2","SOX10+ PDL1+","OTHER PDL1-",41,271.715359919873,65.8124432187731,2,"Margin"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1+",126,841.793011586353,224.084261483054,2,"Margin"
