"sample_name","phenotype_label","neighbor_phenotype_label","mean_distance_um","stderr_distance_um","region_label"
"MEL3","SOX10+ PDL1-","OTHER PDL1+",NA,NA,"Tumor"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1-",0,0,"Tumor"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1+",22.2441354011176,0.356989100078571,"Tumor"
"MEL3","SOX10+ PDL1+","CD8+ PD1-",NA,NA,"Tumor"
"MEL3","SOX10+ PDL1+","CD8+ PD1+",NA,NA,"Tumor"
"MEL3","SOX10+ PDL1+","OTHER PDL1-",66.1169594966151,1.1166557863678,"Tumor"
"MEL3","SOX10+ PDL1+","OTHER PDL1+",NA,NA,"Tumor"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1-",13.323230933612,0.211643343215399,"Tumor"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1+",0,0,"Tumor"
"MEL2","CD8+ PD1-","CD8+ PD1-",NA,NA,"Margin"
"MEL2","CD8+ PD1-","CD8+ PD1+",NA,NA,"Margin"
"MEL2","CD8+ PD1-","OTHER PDL1-",NA,NA,"Margin"
"MEL2","CD8+ PD1-","OTHER PDL1+",NA,NA,"Margin"
"MEL2","CD8+ PD1-","SOX10+ PDL1-",NA,NA,"Margin"
"MEL2","CD8+ PD1-","SOX10+ PDL1+",NA,NA,"Margin"
"MEL2","CD8+ PD1+","CD8+ PD1-",NA,NA,"Margin"
"MEL2","CD8+ PD1+","CD8+ PD1+",0,0,"Margin"
"MEL2","CD8+ PD1+","OTHER PDL1-",21.2328793597856,1.27376145481591,"Margin"
"MEL2","CD8+ PD1+","OTHER PDL1+",15.9897724878719,0.892289670801759,"Margin"
"MEL2","CD8+ PD1+","SOX10+ PDL1-",13.1729232495368,0.76535983653061,"Margin"
"MEL2","CD8+ PD1+","SOX10+ PDL1+",15.4997985883415,0.876642257320643,"Margin"
"MEL2","OTHER PDL1-","CD8+ PD1-",NA,NA,"Margin"
"MEL2","OTHER PDL1-","CD8+ PD1+",22.6341482660053,0.506250495533864,"Margin"
"MEL2","OTHER PDL1-","OTHER PDL1-",0,0,"Margin"
"MEL2","OTHER PDL1-","OTHER PDL1+",31.7065024465783,0.700954707698875,"Margin"
"MEL2","OTHER PDL1-","SOX10+ PDL1-",23.7020706956364,0.527575538076103,"Margin"
"MEL2","OTHER PDL1-","SOX10+ PDL1+",43.8448489822838,1.12621362760028,"Margin"
"MEL2","OTHER PDL1+","CD8+ PD1-",NA,NA,"Margin"
"MEL2","OTHER PDL1+","CD8+ PD1+",13.6826564917008,0.585364527958053,"Margin"
"MEL2","OTHER PDL1+","OTHER PDL1-",19.2917174327716,0.976037690754056,"Margin"
"MEL2","OTHER PDL1+","OTHER PDL1+",0,0,"Margin"
"MEL2","OTHER PDL1+","SOX10+ PDL1-",22.2531593436716,1.27625258659321,"Margin"
"MEL2","OTHER PDL1+","SOX10+ PDL1+",25.2596917503462,2.66116558063669,"Margin"
"MEL2","SOX10+ PDL1-","CD8+ PD1-",NA,NA,"Margin"
"MEL2","SOX10+ PDL1-","CD8+ PD1+",13.8567515744767,0.359803371972091,"Margin"
"MEL2","SOX10+ PDL1-","OTHER PDL1-",20.217457399779,0.567394041077574,"Margin"
"MEL2","SOX10+ PDL1-","OTHER PDL1+",33.4621591398913,0.990908969382039,"Margin"
"MEL2","SOX10+ PDL1-","SOX10+ PDL1-",0,0,"Margin"
"MEL2","SOX10+ PDL1-","SOX10+ PDL1+",42.2342417176791,1.34596539478695,"Margin"
"MEL2","SOX10+ PDL1+","CD8+ PD1-",NA,NA,"Margin"
"MEL2","SOX10+ PDL1+","CD8+ PD1+",13.7762642963544,0.630203282667183,"Margin"
"MEL2","SOX10+ PDL1+","OTHER PDL1-",21.6135270097651,0.985698778053553,"Margin"
